亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
你好 Martin, 你去看了什么赛事了吗？	我去了。我昨天去看了乒乓球比赛。
现在健身这么火,为什么还是有那么多人超重呢?	嗯,还是有一些因素会影响人们的体型和体重的.
晚餐的味道真不错,我真是惊讶不已.	你这么说我真高兴.饭后我们喝杯葡萄酒吧.
酒保已经宣布要打烊了，我们再喝一杯如何？	没问题，但这次我们一定要喝大壶的！我想打烊之前我们应该可以喝完。
哇，那边的摩天轮好大啊。我想去坐。	那叫聚能飞船。
你喜欢登山运动吗？	是的，从某种意义上来说。我应该说我喜欢爬山，因为我没有这么专业。你呢？
本先生，你觉得这本书怎么样？	很好的一本书。我非常喜欢它。
你腋下的那本书是什么？	是最近六个月来大家都在讨论的畅销书。
你最喜欢的书是什么？	是《飘》。
嘿,鲍勃,我很高兴你能来.	当然要来啦.我觉得没有比这更好的机会了,可以见到所有的老朋友.
你看过京剧吗？	是的，我看过一次。
爸爸，我喜欢这个农家乐活动。确实很有趣。	是很不错。但是现在别说话。别忘了你正站在梯子上呢。小心点。
有什么需要吗，小伙子？	我需要租三副今天早上用的滑冰鞋。
哇，这真是太棒了。真高兴我们到这里来。太酷了。	我总是很喜欢滑雪。你知道，这是给酷人玩的酷游戏。跟我一起你也会变酷。
我喜欢这样到郊外，坐在清晨的阳光中，呼吸新鲜空气。	我非常同意，亲爱的。我们就需要这样时不时地放下工作出来玩。
爸爸，接下来做什么？现在我们还能玩点什么呢？	这附近有一个人工渔场。那么，你觉得我们去那里钓鱼怎么样？
吉米，这些安全检查是关于什么的啊？这是不是意味着酒吧可能是一个危险的地方啊？	不，当然不是。只是以防万一。没有什么好担心的。在中国不这样做吗？
嗨，泰瑞，大家都到齐了吗？	嗯，大部分人都到了。别担心，离比赛开始还差20分钟呢！
妈妈，快点，否则我们就没有座位了。	别着急，会有很多的。再来十个丹尼尔都会没有问题。
尼克，你的问题是,哪部电影的原作和续集同时获得了奥斯卡的最佳影片？	当然是《教父》和《教父续集》。它们均由法蓝西斯科波拉执导。
我猜你很喜欢电影摄影和服装之类的东西？	对，我喜欢。电影的门面很重要。
你喜欢音乐吗？	呃，那要看是什么类型的。
你在看什么书啊，Linda?	我在读一本小说，是著名的小说家gorge aliat写的《水磨坊》。
你一定很喜欢跳舞，是吧。	喜欢。你经常在这儿跳吗？
你干什么呢?	我正在玩今天报纸上的填字游戏.只要一有空,我就喜欢玩报纸上的填字游戏.
你唱歌真好听！	是先进的设备帮了我。事实上，我五音不全。
你喜欢哪种运动,篮球还是棒球?	坦白说两个我都不喜欢.
你昨晚干什么了?	我就待在家里看电视.
你看什么电视节目呢?	3分钟之后3频道要播一个特别好看的情景喜剧.
这家酒吧真不错，挺火爆啊。	对啊，这就是为什么要来这儿。真高兴今晚能出来。
你知道我为什么选这家咖啡厅吗？	你喜欢这里的音乐。
你最喜欢什么杂志。	这么说吧，我最喜欢《读者文摘》。
你看见我今天早上在看的那期新的大都市杂志了吗?	我好像在厨房桌子上看见过.
你听什么呢?贝多芬还是莫扎特?	贝多芬.你喜欢他的音乐吗?
你喜欢玩游戏吗?	我喜欢玩电脑游戏,但是不怎么喜欢玩棋盘游戏.
这不是很棒吗？ 我一直想拥有自己的农场，住在农村，种自己的食物。	那确实好极了。虽然我必须承认你的主意很不错，但是我对农场一窍不通。
喂,吉米,你在电视机前坐了一天了,电视上有什么有意思的节目吗?	没有啊.其实现在挺无聊的,净是长篇的购物广告和公共服务通知.
这些人是谁？	科比·布雷恩和奥尼尔，他们可是洛杉矶湖人队的明星球员。
汤姆，周末有什么计划吗？	有啊。我打算去洛矶山脉南部徒步旅行。
你好，约翰，冰鞋真漂亮。新的吗？	是呀，我刚买的。我开始在一个社团打冰球。所以，终于给自己买了一双新的冰鞋。
嗨，约翰，你的假期怎么样？	有点可怕。我们去了澳大利亚和新西兰。
你会演奏什么乐器？	我会弹一点钢琴。
嘿，苏茜，你参加了哪个健身俱乐部？	Total健身俱乐部。怎么了？
你为什么对赏鸟那么喜爱？你能从中得到什么？	观赏这些美丽的生物，聆听它们的歌唱是极美妙的经历。我觉得就像与大自然直接接触。
你爱不爱跳舞？	偶尔会跳，如果有音乐的话。
你最近有没有看什么好电影？	我已经好久没去看电影了。
嗨，那场演出怎么样？	不怎么样。有点乏味。
这是你的热狗和啤酒。情况怎么样？我错过了什么吗？	是呀，刚刚卡尔·利普金击了一个本垒打。
你怎么会对京剧那么着迷呢？它太无趣了。	可我觉得京剧非常精彩，有魅力。哎，你有你的观点，我有我的观点。
你常去看体育比赛吗？	我家附近有比赛时，偶尔去看。但我通常看电视里的。
你早晨锻炼吗？	是的，我每天早上起来都打一趟太极拳。
我有些自己拍的照片，你想看吗？	当然想看。说起照片，你觉得什么胶卷最好？我正打算去九寨沟旅游。
所以Janet，你有运动的习惯吗？	这个嘛，我常去健身房。我是附近一家健身房的会员。
唔，珍，依你骑车的方式……我看这并不是个好主意。	我真喜欢这音乐。这是精选辑。
杰森，该你了。	我希望能和你一样抽到简单的。
我已经打定主意了,我要纹身。	真的？你确定吗？
这跟我有什么关系？	你懂咖啡。我需要你的建议，这样我点咖啡的时候才不会像白痴一样。
伊莎贝，你知道我对出名没兴趣。	我看你对找份真正的工作也没兴趣。
比尔，你对体育运动有多在行？	你开玩笑吗？我很差劲！但是我爱看球赛。我经常去看足球赛或者棒球赛。而且我还每周看体育报。
你做喜欢哪类音乐?你喜欢流行乐吗	我喜欢所有音乐。不过我最喜欢乡村音乐
你喜欢什么样的书？	我喜欢关于美国早期时候的小说。
你有什么爱好吗？	是的，我的爱好是读书。
太棒了。我选到了“经典片”。	我不知道你还喜欢看老片。
我记得你说过你喜欢中国因为它有便宜的啤酒。	是的，难以置信地便宜。嘉士伯少于1美元。
你在闲暇时间里干什么?	我夏天去远足，冬天滑雪。
周末出去娱乐一下对你有好处。你最喜欢哪类电影。	很难说，我喜欢有意思的和有意义的我不在乎是不是畅销电影。
正在演一部新电影，你看过了吗？	是哪类电影？
你最喜欢什么节目？	我喜欢综艺节目。
刚才播放的系列剧叫什么名字？	屠夫医生。
您喜欢看电视吗？	是的，一般来说我喜欢。
我喜欢5频道，它总是播世界名地的电影。	没有语言困难吗？
我想换到二十六频道。	为什么，我想看看那个频道在播什么？
听说《冷血》刚刚封镜。	没错儿,电影肯定成功.什么时候上映你知道吗?
你最喜欢哪位音乐家？	我没有最喜欢的一个，但最近我听了不少肖邦。
我爱吃冰激凌。	真的？我也是。你最喜欢什么口味的？
这里是可波里尼，我表妹的店。	听起来应该是一个尼结尾的意大利名字。
Nick，忙什么呢？	不忙，我要去射击场。你想一起去吗？
茶和咖啡你更喜欢哪一个？	我总是偏爱茶。
所以，Karen，你平时都做些什么消遣？	恩，我喜欢弹钢琴。
Sue，你喜欢哪一类的电影？	我什么种类的都喜欢，我承认我爱极文艺爱情片了。
你准备好要去血拼了吗？	还没。我的研究还没做完。
你这周末要看印地安拿波里五百大赛车的电视转播吗？	我其实对赛车兴趣不大。
我正在组建一支乐队。	你已经学会如何弹奏乐器了吗？
橘子和柠檬你更喜欢哪个？	我更喜欢橘子.
你看电视多吗？	不一定，可看可不看。
封面也很棒！这颜色真是夺目啊！	得了吧你。你才不管颜色。你只是喜欢封面上的辣妹。
孩子，你知道胡萝卜是什么 颜色吗？	妈妈，是桔黄色的吧。
我听说搭车人将会在下周上映。我想去看。	这是部恐怖电影吗？
快看，六点半将上映阿甘正传。	真的吗？这部片子在1994年首映。它确实很经典。
哈利，你喜欢歌剧吗？	不，不怎么喜欢。
什么东西都跟这有关。我都有点烦了。	每只戒指的内环都有三颗小钻石。
马克，你去哪儿了？一个上午我都在找你。	我一直在玩电脑游戏。
嗨！本！真高兴在这儿见到你！	嗨！泰瑞！在这儿碰到你真好。
嗨，阿美，你看，那是我们昨天看的那个电影的海报吗？	是的，那是女巫的海报。
爸爸，我想在这个暑假学学怎样开车。	好主意。在所有班都被报满之前，你最好快点。现在很多人都在学开车。
比尔，你对体育运动有多在行？	你开玩笑吗？我很差劲！但是我爱看球赛。我经常去看足球赛或者棒球赛。而且我还每周看体育报。
今年夏天下雨很少。	就是，有些地方十分缺水。 
我肯定我们到达的时候天气会很潮湿。	是的。我敢说会是这样的。
以上就是今天的头条消息。现在我们连线约翰，了解一下天气情况。约翰，对于本周出行的人们来说，天气怎么样？	玛丽，可怕我们得过一个天气很糟的周末。有个风暴正在穿越东部海岸。今天整天都会下毛毛雨，而且今晚有百分之六十的可能下雷暴雨。周末会温暖而又潮湿，在中西部，会有强风，和40度左右的低压。
你准备好去超市了吗?	是啊,你呢?
有一个龙卷风的警报，我妈刚刚告诉我她从收音机听到的。	什么是龙卷风警报？
这个周末你都干什么了?	我到伦敦去参加一个有关全球变暖的集会.周围有那么多人都在关注环境问题,可真是好事!
今天外面的天气真不错,是吧?	好极了.好好享受吧.明天可能会降温.
天气真好，是吧？	是的，非常好。
瞧，日落真漂亮。我从未见过这么火红的日落。	对，很漂亮。可是颜色之所以这么红是因为空气污染。
这个城市的空气质量实在是太差了!污染指数那么高,以至于我们都已不再希望于外出时戴防毒面具保护自己了.	汽车排放的尾气严重污染了环境.
你经历过地震吗?	经历过,我在东京的时候遇到过一次.不过那次轻微的地震大概只持续了几秒钟,然后就过去了.
今天天气预报怎么说？	上午多云，下午阴天。
你看新闻了吗，南方发洪水了。	看了。我不得不取消我的旅行计划。
嘿，吉姆。我可不知道你骑自行车上班。	是这样。他可以帮助我保持体形，同时也有利于环境。
我想干旱开始了。几个月都没下一滴雨了。	我也这么想。但是上个月没有下雨吗？
噢，我天啊！天气真热。我长这么大还没有经历过如此炎热的天气。	跟我说说吧！整个世界好像在火上烤一样。
哇，你就像个落汤鸡！你不知道今天有雷雨吗？	我知道有阵雨，但是我不知道今天下倾盆大雨。
你昨晚有听天气预报说多冷吗?	我听广播员说是零下18度。
今天天气很好，是吗？	是的，天气很好，阳光明媚。
天气很差，是吗？	雪已经停了，但是天更冷了。
对不起，先生，你知道几点了吗？	噢，快十一点二十分了。
今天上午真暖和，是吗？	是啊,天气暖洋洋的.一切看起来都那么清新,那么翠绿
我喜欢这种天气。	是啊，微风徐徐，皓月当空。
今天真是阳光明媚，天气宜人。	是啊，这儿的秋天美极了。
天儿真好！	这么长时间没有好天气，今天可真痛快。
台湾的冬天总是这么冷吗?	不见得,通常暖和多了.你不习惯冷天气吗?
关于媒体报道的全球变暖你们如何看待？	那是个很严肃的问题。有大量的科学研究和科学团体声称地球正在变热。如果我们想保护地球，我们的生活方式需要马上进行调整.
你最喜欢哪个季节？	我最喜欢春天。春天不冷也不热。寒冷的日子使我变懒，闷热的日子使我变得更懒。你呢？
看来今天是晴天啊。	我也这么想。……
瞧，天晴了。	太阳出来了。
快点，丹尼尔，现在是芭比时间。	知道了，姐姐。
亲爱的，今天的天气真好。	白天也变长了。
阿美，我们选择中午出来逛街，真是不明智，今天太热了。我的皮肤很敏感，不能暴露在夏天烈日下	你有防晒霜吗？
南方每年都发洪水，这是天灾。	你真的这么认为吗？
今年夏天下雨很少。	就是，有些地方十分缺水。
嘿，姑妈。	嘿！生日快乐。我没想到他已经这么高了。
苏珊，晚上好。你怎么打扮成这样？	我要去参加一个新年宴会。我看上去怎么样？我的妆可以吗？
为什么一直在房间里走来走去的？	我为孩子们担心。毕竟他们是第一次离开我们，走出家门。
现在，亲爱的。我知道我们一起买了这套房子，但是装修太贵了。我觉得我们应该卖了它。	噢，不，内森，我…我真的认为我们买这套房子买得是时候，你知道的。市场价正在上涨，我想你会在一至两年内发现它会增值很多。
爷爷，这个位置是给您的，因为您是这里的长辈而且今天是您的生日。	哦，你今天可真是个乖孩子啊。过来这里，坐我旁边吧。
嗨，娜塔莎，最近怎么样？	挺好的，我家里人来了。
汤姆，你怎么了。昨晚聚会我们都很想你，你还好吗？	我不知道。我不想出去。我想我是有点想家了。
你们家有多少人？	5个人。除了我和我父母之外，还有我哥哥和妹妹。
你们家有家谱吗？	当然有了。我妈妈这些年来一直在整理家谱，而且保持更新。
你是怎么看待那些不要孩子的夫妻的？你打算要不要孩子。	说实在的，我不打算要孩子。
你父亲是做什么的?	他是名工人。
你跟一个老外结婚了，是吗？那么是个什么样？	嗯，我们结婚的第一年，我们很难相处。对我来说重要的事对他来说又不重要。我们有过很多冲突。
你对小孩有经验吗？	有。我有三个儿子。实际上我还有一个孙子。
昨晚我在电视上看了一个很有趣的节目。是关于老年人。	那么节目上都说了些什么？
克里斯，我听说你来自一个大家庭。有多少人？	一共9人。7个孩子和我父母。
那么，弗莱德，毕业后你有什么打算？	嗯，我家乡已经有份工作正等着我回去做。
你们家有几口人?	五口。我父母，我兄弟，他妻子和我。
这是你的全家福吗？	是啊，这是我来上大学拍的。
你妈妈是做什么工作的？	她是一家公司的会计。
修剪树枝的那位老人是谁呀？	是我奶奶。
这是我叔叔，查尔斯。	他看上去很结实，做什么工作的？
他们准是你父母了，他们都做什么工作？	我母亲是个教授，我父亲是个经理。
我该叫他什么？	你可以叫他叔叔，或叫他亨利。
照片中你爸爸可真年轻。	那时他才二十岁。
这是你姐夫吗？	对，十年前他和我姐姐结婚。
阳光灿烂。	但是有些马尾云。
我听说过很多你哥哥的故事。	他是我们镇的英雄。
他笑得可真美！	那是我表哥休伯特，他很爱笑。
欢迎光临！欢迎来到小意大利。我们是这里最典型的意大利家庭！	我听说了。所以我才玩得如此尽兴.
谢谢。我不能收下.	她会坚持要你收下。这是念珠。这东西她多得是。收下吧。
你的丈夫能帮上你很多忙，不是吗？	也许他挺愿意帮忙的，可是不像你想像中的那样能帮上忙。
多丽，这人是你未婚夫吗？	对，你看他怎么样？
嗯，我真不敢相信你的叔叔和姑妈和我们住了一个星期，甚至他们都没有提前打个招呼。	约翰，他们是从中国农村来的老年人。那是他们的习俗。
妈妈，你知道吗，安德里亚和我有时很担心你。	真的吗？你们为什么会担心我？我都很好。
艾丽斯，你的爸爸可真行! 他九十岁了，还一个人住那么大的房子。	我知道，他不喜欢求助任何人。我爸爸坚持自己支付帐单，自己照顾自己！
谢谢你的好意送我一程。我盼着参加这个晚会，但是我不想一个人去。	不用谢。是我的荣幸。自从你来纽黑文市，你有没有去过这种大型的、坐下来吃饭的聚会？
克里斯多夫,你最近过得怎么样?	老实说,我现在上班上得 有点不耐烦了.我需要放个假!
你怎么安排这个暑假呢？	我想去旅行。
玛丽，醒醒。	有什事吗？现在才早上八点。
嘿,拉里,周末过得怎么样?	挺不错的,我和大学同学聚会了,其中好多人毕业后我就没见过.你呢?
又是一个周末.	而且快放署假了.
我周末去看病。	你怎么了？
这个周末去购物怎么样？	你要买什么？
保罗，我们今天下午去看爷爷吧。	可爷爷得上班呀。
Sara, 你周末要做什么？	今天晚上，我打算去打保龄球。明天我希望可以去看电影，你呢？
周末总算到了！	而且是个长长的周末。我星期一放假。好象是阵亡将士纪念日还是什幺的。
现在木炭差不多好了。我要开始烤了。	你拿去吧。我已经帮你准备好汉堡肉饼了。
你周末在哪儿过？	我们乡下有一处房子。
你本周六下午打算去海边吗？	那得看天气。
本周末有庆祝国庆游行活动.	路线怎么走？
哈啰，小姐们。我正在生火。我们过一小时左右就可以吃了。	洋芋片、小零嘴、点心、焗豆。猪肉和牛肉片呢？
有谁想喝饮料？	我要来一瓶。冰桶里目前情况如何？
多亏你提醒。我们会当心疯狂驾驶的.	你们好啊。想要玩触身式美式足球游戏吗？
我们明天要参加端午节庆典，想要跟我们去吗？	好啊，我从来没看过划龙舟比赛。
妈，母亲节快乐。	谢谢，这些花很漂亮，你不应该买的。
你和科里这星期五会去做什么？	可能什么也不做。
这周末我要好好休息。	你是说要呆在家里？
嗨, Sandra. 你周末过得如何啊?	好极了! 我星期六去爬山了.
今年办公室里又玩了一次“秘密圣诞老人”，我们正在进行中。	你选到谁？
我回来了。大家都过来吧。我买了一棵圣诞树。来看看这颗漂亮的松树。	哇，这棵树真大。你确定客厅里能放下吗？
死者悼念之日来了。万灵杰和万圣节。	你的邻居真疯狂。他在喊什么？
汤姆，玩"不请吃就捣蛋"的游戏你是不是有些岁数大了？	你说什么？你的万圣节精神呢？你不曾穿万圣节的服装并和朋友们一起向邻居要糖吗？
我们中国为什么没有自己的情人节呢？	我们当然有，是在农历七月初七。
圣诞快乐！	你也一样！
春节是中国最重要的节日，是吗？	是的。
你对即将到来的假期有什么计划吗？	是的，我有一个十分特别的计划。我会去动物园做两个星期的志愿者。我一个在那里工作的朋友前几天告诉我，他们需要一些志愿饲养员。我很有兴趣。所以我跟他要了一张申请表。很幸运，我的申请表很快被经理同意了。
我不知道假期的时候要做什么，你有什么建议吗？	额，看电影，参观美术馆，展览会和博物馆，与老朋友见面，去健康俱乐部锻炼或者进行高山自行车运动。有这么多的选择。
泼水节是法定节日吗？	不是,大多数少数民族节日都不是法定的。
你知道愚人节是怎么回事吗？	那天人们互相捉弄，容易上当的叫四月傻瓜。
把端午节的来历告诉我好吗？	好的,这是人们纪念古代一位伟大的浪漫主义诗人的活动.龙舟比赛是奋力救诗人的象征。
你们复活节放几天假？	通常放一个月。
现在已经是午夜了！我正准备迎接新年的到来！	我知道这样很兴奋！新的一年就像一个干净的石板。可以重新书写你的梦想，目标和方向。
爸爸，爸爸，爸爸！快起来。今天是圣诞节！	米，现在太早了，现在才6点，回去睡觉吧。
我回来了。大家都过来吧。我买了一棵圣诞树。来看看这颗漂亮的松树。	哇，这棵树真大。你确定客厅里能放下吗？
给我讲讲冰雪节吧。	那是最神奇的节日了，人们用冰雪造宫殿,雕刻各种各样的东西,美极了
帮我找个地方躲起来，怡君！小朋友全都以为我是真的复活节兔子啦!	哎哟，那真可爱！我就知道你的道具服会大受欢迎的。
你们感恩节都做些什么？	没有很多的事，这个是美国的传统，回到家我们并不过这个节。我甚至不确定究竟要庆祝哪些东西。
你读这个了吗？那上面说新年最重要的计划就是要多花些时间和朋友和家人多相处。	那个有意思吗？
你打算怎么过退伍军人节？	你是说休战日.
情人节人们干什么？	那天小伙子们给自己的情人送玫瑰花。
你能说出几个由宗教来的节日吗？	能，圣诞节和复活节就是。
天啊，看来你一家老小都在这里了。	复活节是团聚的好日子。全家都会一起上教堂。
比尔，比尔，你得帮帮我。	怎么了？镇定点，否则你心脏会受不了。
哇，这里有好多灯笼可以观赏啊。现在，我知道它为什么被称为灯笼节了。真是名副其实啊。	是啊。人们都很喜欢这些点亮的灯笼和欢庆的表演。
你们的树看起来好漂亮。你们每年都这么布置吗？	是的。记得从我孩提时候开始这就是家里的传统了。我们用一样的灯泡和装饰品；当然，我们每年都用一棵新树。这些装饰中有一部分是孩子们弄的。给，你可以把这个吊在一根高枝上。
圣诞快乐！	嗯？
你好，先生，我能为您做什么？	是的。我对你们公司在网上登出的那份工作感兴趣。
你好。我能帮你吗？	我是来申请主管职位的。贵公司昨天登出来了这一职位。现在还有效吗？
您好。	您好，请问您是史密斯小姐吗？
嗨，你升为部门经理了。	这都归功于上级和同事的努力。
你好，钱德勒，最近还好吗？	很好．你呢？
你老板给你做的工作评估怎么样？	非常好。你知道吗，他是我共事过的最亲切的一个老板。
嘿,贝蒂!	嘿,安迪,你的新工作怎么样?
看来我们部门的预算还有结余,趁现在还没有重新预算,搞点活动吧,你有什么建议?	我们租个餐馆,请大伙好好吃一顿吧.
这是完美最新设计的模型。你觉得怎么样？	额，我不是很满意。
你最近脸色有些苍白。	是啊，在公司工作很多压力，我不得不全身心地投入工作。
谢谢你的建议，麦克米伦先生。我会记住的。不过我得赶紧走了。我约了我先生吃晚饭。	好，我也得走了。祝你们晚上过得愉快。
早上好，人事部。请讲。	你好。我可以找南希讲话吗？
噢，辛蒂，我们打算给你个生日的惊喜，但是你的确太忙了。你能跟我讲你什么时候有空吗？	哦，布莱恩，你们真太好了。我非常想和大伙儿聚一聚。星期五怎么样？
 好的，蒙格玛丽女士。我会在周四下午前把这些计划送到您的办公室。	非常好。这样我就有时间在拍板前和我的人商量一下。
噢，我得回去干活了，我桌上压成吨的活了！	我也一样。下班见，如何？
你跟客户服务部的新经理见过面了吗?	没有。我有好几个星期没有到那去了。他怎么样?
嗨，莎利！你正和一个刚得了个女儿的得意的爸爸说话呢！	祝贺你，鲍博！真是好消息！她叫什么名字？
嗨，你好。我叫泰利·格雷厄姆。你是新来的吧？	是的。我叫马克·本森。我来这才两三个星期。
你好吗？	挺好的，谢谢。我正在努力适应呢。在这里事事都要跟上趟真不容易。
马丁。	嗨，约翰。我是爱米丽。怎么样，都好吗？
嘿，菲利普！你不会相信的！	怎么啦？什么好事？
你好啊，辛蒂。祝贺你。听说你要结婚了。	是这样，埃莫里先生。谢谢。
你要知道我度假去哪儿你肯定会妒忌坏了！	不用说！肯定是个充满阳光的温暖的海滨什么的。
你好像全垮了。	今天上午是连轴开会。在准备Wix香皂介绍时打印机又出了问题。电话从我一进门就响个不停。
你好，菲利普。事情怎么样了？	一切还好。可我确实很累了。
苏？你想参加垒球队吗？我们还需要个队员。	我从上中学就没打过垒球了。
你儿子上学了吗？汤姆？	下星期。这会让他吃惊不小。
嗨，爱伦。这身外套真棒。	谢谢，吉姆。我不知道男孩子也会注意这类事情。
杰克！你想看看我新的小狗的照片吗？	当然。我以为人们就爱向人炫耀自己新生孩子的照片，不是新宠物的。
梅丽莎？我想请你参加我妻子的生日聚会。	谢谢，弗兰克。我非常愿意参加。什么时候？
你的口音很特别，罗宾斯女士。是哪里人? 不介意我问吧？	没关系. 我在马德里出生，但十几岁时就到了美国。
嘿，吉姆。听说你被提升啦！	不错。我将负责澳克大街分店。
谢天谢地！我写完服务指南啦！我以为写不完了呢！	你什么时候完成的？
嘿，马克？昨天你干什么去了？我给你打电话，可没人在家。	我们去体育场了。鲍博好几个星期没看过比赛了。
你的女儿怎么样了？苔比？	喔，她好极了。现在长得很大了。
嗨，仙蒂，有空吗？	有，约翰。我正在休息。有事吗？
约翰，等一下。我正要下楼喝杯咖啡。你想一起来吗？我有好消息。	好啊。等我拿钱包。今天早上你看上去真高兴。
真想不到，你竟然穿着牛仔裤来上班了。你不想干了？	当然不是。我这么穿也是符合有关便服日的规定的：公司不要求员工在星期五穿正规的职业装。
出了什么问题？	你的秘书认为她被骚扰了。
你面试得怎么样?	挺好的.虽然我不清楚是否能成功升职,但是自我感觉还不错.
你还要一点潘趣酒吗？	不，我不这么认为。
欢迎回来！假期过得怎么样？	好极了。不过回到家我还是很高兴。毕竟出门旅游还是挺累的。
嘿,SOHO新人.最近怎么样?	挺好的.我刚从办公室回来.
看起来我们明年要开始往美国销售。	林先生有让你负责销售吗？
你有没有听说过戴维的事啊？	戴维的事,没有，我什么都没听说。
你好！	你好！很高兴见到你，史密斯小姐，我是市场部的杰 克?斯蒂文斯。这是我的名片。
你好吗？金姆？好几天没见到你了。	噢，上星期我大部分时间在休病假。到现在还没全好呢。你最好别靠我太近。
昨天你没来上班，怎么啦？	我不得不在家里照顾我儿子。
凯伦，你有一点时间吗？我想要问你一些事情。	当然，有什么事呢？
嗨，爱利克斯，你好吗？	很好，凯伦。我刚放下手里的文件喘口气。
我们收工吧。	偶尔早点下班回家真好。但是现在是晚上下班高峰时间。
你穿上西装看起来很专业。	公司规定男士在商业会议上必须穿西装打领带。公司的政策没得商量。
我们公司最近要裁员了.	真的吗?你从哪儿得来的消息?
嗨，Joe.你见过我的新助理了吧？	嗯……没错。但是我觉得她不怎么样。我觉得她太自以为是了一点。
嘿，他们从我们薪水里扣了不少钱。	是的，政府确实扣了一点，是吗？
我想借这个计划感谢你为我做的一切。	我很乐意。我喜欢和你一起工作。
视图没问题吧？	别担心，你干得不错，应该没问题。
今天早上我在电梯里遇到一个女孩。她在楼上的公司上班。她说她羡慕我们可以穿便装上班。她抱怨她公司的着装规定。规定要求所有人从周一都周五必须穿正装。	额，我一直在想那些穿职业装的人是哪里的。现在，我知道了。
你有没有听说我们要改组？	没有，真的吗？
嘿，弗朗西斯，早上好！你今天过得怎样？	今天我有一个糟糕的开始。我来的路上遇上交通堵塞了，而且我错过了今早的会议。
要是我们公司制定弹性的上班时间就好了。	董事会正在考虑引进弹性上班时间。
你和你老板的关系怎么样？	我们有非常好的工作关系，但是也有很不快的一点。
我听说你之前的经理很有能力，他是一位好经理。	这只是个人意见。
我真的觉得Terry很令人厌烦。	噢，但是我觉得他多才多艺。
修电脑不是我喜欢的事。你可以叫Jason来修。	是的，他有很好的电脑技术。但是…
我从小道消息那里得知Michael可能成为新的销售经理。	你是如何听到风声的？
你知道吗？在一些公司，加班是经常的事。	有多经常？
你这些天一定很忙。我听说这次的会议安排是你负责的。这应该是你们公司今年最重要的会议。	肯定是。我忙得不可开交，像是在挤时间一样。
我在考虑辞掉我现在的工作。	你认真地考虑了吗？
你今天要和我一起吃晚餐吗？	对不起，我要加班。
想Windows这样的办公软件可能是这个信息时代最好的发明之一。它帮我们省了如此多的工夫，使交流，甚至是全球范围内的交流更加容易。	完全同意。即使我还是一个Excel的使用新手，但是我也享受了这种便利。最新的办公设备更加多功能。它集传真机，复印机和打印机与一身。一台机器而不是三台机器节省了很多空间。
你对詹姆斯有什么看法吗？他是个讨厌的家伙	猜猜看发生了什么？他刚刚被解雇了。
今天早上我与老板进行了一个正式的商讨，我真的觉得心情低落。	 怎么了？
我们新项目的宣传活动非常成功，我感到很高兴。这一季度我们刚刚创造了一个新的销售记录。	这是一个非常鼓舞人心的消息。我听说市场部已经做了三个月的调查，每个月的月尾他们都会把反馈信息送到研发中心。也就是说，在产品上市之前，研发中心要重新设计产品两次。
你没有参加今天早上的会议。你怎么了？	恩，我刚刚进来。我昨晚加班了。一些统计资料和一些重要的文件出错了。所以我再核对了一次。老板知道我昨晚工作到很晚。所以他离开办公室之前告诉我，我今天早上可以迟一个钟头上班。
我听说詹姆斯被解雇了因为他从卖主那里扣下2万美元。	这是公开的秘密了。
看一下一个网站做的调查。四分之一的员工每天平均要花10分钟的时间在网上做自己的私事。嘿Francis，你呢？	额，我刚刚花了15分钟查看股票债券，给我妈妈定了一张飞机票。无论如何，我已经做好了所有工作，现在我要回家了。
你在这个公司多长时间了？	两年前我毕业之后我就过来了。这是我第一份工作。
你听见什么声音了吗？	噢，我的电话在响。我设成振动模式。
你有看上班使用手机的最新规定吗？	是的，不错。像上班关掉手机铃声，去没人的地方打电话以表达你对同事的尊重。
早上我为我们的客户想出了一种销售方式.你做的陈述总是那么与众不同,所以我希望你能给我一些建议,看看明天如何能说服他们.	当然可以,这很容易.首先,口头陈述的成功秘诀是把事情简单化.人们是在听,而且他们注意力集中的时间通常不会太长.按大约三四个点来讲,先总体介绍各个要点,然后一个一个地陈述,最后再总结一下.一定要直截了当,有条理,那样别人就一定会记住你.
你听说斯科特那个案子的事了吗?有些敏感的资料被泄露给了新闻界.现在各大报纸都在报道这件事情.	哦,我敢说这下公司肯定要气坏了.他们知道是谁泄密的吗?
早上我听到一个传闻...好像说信托设备公司要倒闭了.有一个竞争对手要破产了.这对我们来说可真是好消息.	我想你一定听错了.事实是我们要被信托公司接管了.我们的所有权被买下了,我们公司就要和我们最大的竞争对手合并了.这根本不是什么好消息...
露西，你好，你在周围的人当中很受欢迎，你的诀窍是什么？	谢谢你这样说。我不知道，可能因为我喜欢把我的经验和知识和他们一起分享。我认为这种交流方式可以帮助我们提高工作效率，也可以帮助我们与同事友好相处。
恭喜你！我听说你要去总部接受为期两个星期的培训。	谢谢你。能有这个机会去学一些新的东西我很高兴。你知道的，这个领域的信息和知识更新得很快。
Francis，你好，你出差的情况怎么样了？	噩梦一个。
我的一个朋友这些天参加了一个网上职业生涯规划的课程。他告诉我前几天他从中学到很多东西。他介绍我去参加。你觉得怎样？	我认为如果我们对职业生涯规划有足够的了解是很好的。我们可以做出更加明智的选择。他还告诉你什么？
